RANK DYNAMICS  4 pairs, gap 4, 12000 steps, muon, lr 0.0003, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 3).

   step      ce     acc    diag     sig1     sig2     sig3      |R|
-------------------------------------------------------------------
      1   4.506   0.026   0.252   0.0199   0.0115   0.0012   0.0230
    500   4.164   0.042   0.249   0.0031   0.0020   0.0009   0.0038
   1000   3.899   0.031   0.251   0.0037   0.0025   0.0000   0.0045
   1500   3.295   0.161   0.249   0.0036   0.0027   0.0006   0.0046
   2000   3.136   0.198   0.250   0.0059   0.0017   0.0008   0.0062
   2500   2.611   0.224   0.250   0.0045   0.0017   0.0009   0.0049
   3000   2.655   0.219   0.251   0.0038   0.0029   0.0009   0.0049
   3500   2.200   0.203   0.250   0.0026   0.0023   0.0005   0.0035
   4000   1.879   0.240   0.251   0.0034   0.0018   0.0005   0.0038
   4500   2.260   0.208   0.250   0.0021   0.0019   0.0001   0.0028
   5000   1.915   0.260   0.250   0.0027   0.0020   0.0006   0.0034
   5500   1.832   0.234   0.251   0.0036   0.0008   0.0004   0.0037
   6000   1.994   0.260   0.251   0.0038   0.0018   0.0009   0.0042
   6500   2.047   0.255   0.250   0.0016   0.0011   0.0004   0.0020
   7000   2.059   0.281   0.251   0.0027   0.0013   0.0004   0.0030
   7500   1.486   0.245   0.251   0.0025   0.0010   0.0006   0.0027
