RANK DYNAMICS  2 pairs, gap 4, 2500 steps, adamw, lr 0.0003, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 1).

   step      ce     acc    diag     sig1      |R|
-------------------------------------------------
      1   4.477   0.005   0.506   0.0120   0.0120
     50   4.211   0.016   0.491   0.0182   0.0182
    100   4.397   0.016   0.489   0.0228   0.0228
    150   4.223   0.016   0.494   0.0130   0.0130
    200   4.155   0.016   0.498   0.0040   0.0040
    250   4.182   0.026   0.499   0.0030   0.0030
    300   4.059   0.031   0.494   0.0113   0.0113
    350   3.825   0.109   0.496   0.0087   0.0087
    400   3.629   0.177   0.494   0.0125   0.0125
    450   3.245   0.224   0.497   0.0069   0.0069
    500   2.918   0.318   0.497   0.0063   0.0063
    550   2.580   0.354   0.497   0.0066   0.0066
    600   2.276   0.417   0.497   0.0059   0.0059
    650   2.221   0.490   0.497   0.0060   0.0060
    700   2.079   0.490   0.499   0.0021   0.0021
    750   1.785   0.432   0.499   0.0010   0.0010
    800   1.750   0.521   0.502   0.0041   0.0041
    850   1.598   0.474   0.498   0.0036   0.0036
    900   1.564   0.474   0.498   0.0040   0.0040
    950   1.990   0.458   0.500   0.0007   0.0007
   1000   1.583   0.458   0.497   0.0066   0.0066
   1050   1.524   0.490   0.499   0.0030   0.0030
   1100   1.745   0.458   0.499   0.0028   0.0028
   1150   1.770   0.521   0.498   0.0040   0.0040
   1200   1.869   0.484   0.496   0.0085   0.0085
   1250   1.435   0.432   0.496   0.0077   0.0077
   1300   1.542   0.484   0.499   0.0024   0.0024
   1350   1.209   0.516   0.500   0.0002   0.0002
   1400   1.630   0.490   0.500   0.0005   0.0005
   1450   1.647   0.490   0.495   0.0090   0.0090
   1500   1.496   0.474   0.498   0.0037   0.0037
   1550   1.242   0.536   0.501   0.0024   0.0024
   1600   1.176   0.448   0.500   0.0005   0.0005
   1650   1.325   0.531   0.498   0.0047   0.0047
   1700   1.347   0.542   0.498   0.0050   0.0050
   1750   1.293   0.484   0.498   0.0035   0.0035
   1800   1.169   0.552   0.500   0.0004   0.0004
   1850   1.506   0.557   0.498   0.0030   0.0030
   1900   1.369   0.542   0.501   0.0016   0.0016
   1950   1.145   0.464   0.502   0.0033   0.0033
   2000   1.348   0.536   0.501   0.0025   0.0025
   2050   1.171   0.547   0.501   0.0017   0.0017
   2100   1.232   0.427   0.500   0.0007   0.0007
   2150   0.932   0.474   0.501   0.0027   0.0027
   2200   1.150   0.500   0.502   0.0043   0.0043
   2250   1.190   0.490   0.500   0.0005   0.0005
   2300   1.265   0.474   0.500   0.0005   0.0005
   2350   0.954   0.484   0.502   0.0035   0.0035
   2400   1.066   0.510   0.502   0.0041   0.0041
   2450   1.019   0.484   0.502   0.0044   0.0044
   2500   1.276   0.542   0.502   0.0043   0.0043

370s
READ: sigma_1 flat at ~0 then jumping = the escape is a RANK INCREASE (saddle-to-saddle).
      sigma_i switching on in sequence = one saddle per rank, which is why more pairs
      cost far more than proportionally.
