RANK DYNAMICS  2 pairs, gap 4, 2500 steps, muon, lr 0.0003, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 1).

   step      ce     acc    diag     sig1      |R|
-------------------------------------------------
      1   4.477   0.016   0.506   0.0111   0.0111
     50   4.299   0.021   0.507   0.0147   0.0147
    100   4.518   0.016   0.500   0.0010   0.0010
    150   4.152   0.016   0.501   0.0013   0.0013
    200   4.100   0.031   0.498   0.0048   0.0048
    250   4.220   0.036   0.506   0.0129   0.0129
    300   4.034   0.042   0.505   0.0107   0.0107
    350   3.484   0.078   0.501   0.0021   0.0021
    400   3.907   0.099   0.500   0.0003   0.0003
    450   3.485   0.172   0.501   0.0028   0.0028
    500   2.685   0.214   0.502   0.0034   0.0034
    550   2.948   0.260   0.499   0.0029   0.0029
    600   2.220   0.307   0.501   0.0028   0.0028
    650   2.647   0.380   0.497   0.0069   0.0069
    700   1.999   0.370   0.498   0.0038   0.0038
    750   1.648   0.385   0.500   0.0007   0.0007
    800   1.550   0.438   0.503   0.0062   0.0062
    850   1.946   0.432   0.502   0.0038   0.0038
    900   1.470   0.437   0.503   0.0052   0.0052
    950   1.724   0.495   0.519   0.0372   0.0372
   1000   1.118   0.719   0.699   0.3989   0.3989
   1050   0.923   0.896   0.896   0.7916   0.7916
   1100   0.212   0.953   0.943   0.8851   0.8851
   1150   0.102   0.990   0.974   0.9480   0.9480
   1200   0.045   0.979   0.986   0.9725   0.9725
   1250   0.113   0.974   0.989   0.9778   0.9778
   1300   0.044   0.953   0.996   0.9926   0.9926
   1350   0.060   0.995   0.984   0.9679   0.9679
   1400   0.103   0.974   0.975   0.9494   0.9494
   1450   0.136   0.979   0.998   0.9970   0.9970
   1500   0.363   1.000   0.989   0.9775   0.9775
   1550   0.333   0.984   0.984   0.9680   0.9680
   1600   0.005   0.984   0.977   0.9534   0.9534
   1650   0.186   0.979   0.985   0.9692   0.9692
   1700   0.006   0.990   0.985   0.9704   0.9704
   1750   0.007   1.000   0.997   0.9950   0.9950
   1800   0.021   0.979   0.986   0.9717   0.9717
   1850   0.000   0.990   0.983   0.9664   0.9664
   1900   0.013   0.958   1.000   0.9997   0.9997
   1950   0.000   0.990   0.985   0.9694   0.9694
   2000   0.226   0.969   0.984   0.9686   0.9686
   2050   0.004   0.984   1.000   0.9999   0.9999
   2100   0.582   0.990   0.992   0.9842   0.9842
   2150   0.005   0.995   0.978   0.9558   0.9558
   2200   0.308   1.000   1.000   1.0000   1.0000
   2250   0.001   0.974   1.000   0.9992   0.9992
   2300   0.001   0.984   0.980   0.9605   0.9605
   2350   0.388   0.990   0.994   0.9888   0.9888
   2400   0.006   1.000   0.969   0.9375   0.9375
   2450   0.126   1.000   0.992   0.9844   0.9844
   2500   0.013   0.995   0.999   0.9989   0.9989

456s
READ: sigma_1 flat at ~0 then jumping = the escape is a RANK INCREASE (saddle-to-saddle).
      sigma_i switching on in sequence = one saddle per rank, which is why more pairs
      cost far more than proportionally.
