RANK DYNAMICS  2 pairs, gap 4, 20000 steps, adamw, lr 0.001, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 1).

   step      ce     acc    diag     sig1      |R|
-------------------------------------------------
      1   4.477   0.010   0.496   0.0073   0.0073
    250   3.363   0.141   0.499   0.0018   0.0018
    500   2.073   0.432   0.493   0.0134   0.0134
    750   1.495   0.531   0.496   0.0080   0.0080
   1000   1.548   0.505   0.498   0.0034   0.0034
   1250   1.457   0.422   0.498   0.0033   0.0033
   1500   1.387   0.438   0.497   0.0060   0.0060
   1750   0.954   0.531   0.501   0.0023   0.0023
   2000   1.290   0.479   0.503   0.0055   0.0055
   2250   1.173   0.474   0.503   0.0051   0.0051
   2500   1.072   0.557   0.505   0.0091   0.0091
   2750   1.057   0.557   0.502   0.0042   0.0042
   3000   0.950   0.542   0.499   0.0025   0.0025
   3250   1.448   0.495   0.498   0.0040   0.0040
   3500   1.262   0.490   0.499   0.0014   0.0014
   3750   0.963   0.510   0.501   0.0024   0.0024
   4000   0.999   0.484   0.502   0.0042   0.0042
   4250   0.942   0.411   0.499   0.0025   0.0025
   4500   1.271   0.453   0.503   0.0063   0.0063
   4750   0.807   0.516   0.502   0.0047   0.0047
   5000   1.031   0.500   0.501   0.0025   0.0025
   5250   1.058   0.479   0.502   0.0042   0.0042
   5500   0.965   0.526   0.501   0.0024   0.0024
   5750   0.918   0.474   0.501   0.0017   0.0017
   6000   1.042   0.542   0.502   0.0048   0.0048
   6250   0.720   0.510   0.503   0.0052   0.0052
   6500   1.100   0.510   0.504   0.0076   0.0076
   6750   1.028   0.464   0.504   0.0085   0.0085
   7000   0.791   0.490   0.503   0.0066   0.0066
   7250   0.917   0.500   0.502   0.0033   0.0033
   7500   1.074   0.500   0.501   0.0013   0.0013
   7750   0.884   0.510   0.501   0.0020   0.0020
   8000   0.954   0.479   0.503   0.0069   0.0069
   8250   0.914   0.427   0.502   0.0048   0.0048
   8500   0.812   0.464   0.508   0.0157   0.0157
   8750   0.918   0.500   0.516   0.0314   0.0314
   9000   0.978   0.526   0.540   0.0810   0.0810
   9250   0.640   0.615   0.570   0.1397   0.1397
   9500   0.750   0.630   0.598   0.1968   0.1968
   9750   0.712   0.672   0.629   0.2586   0.2586
  10000   0.562   0.667   0.634   0.2688   0.2688
  10250   0.630   0.693   0.652   0.3047   0.3047
  10500   0.460   0.677   0.672   0.3447   0.3447
  10750   0.444   0.734   0.679   0.3578   0.3578
  11000   0.500   0.740   0.724   0.4487   0.4487
  11250   0.244   0.792   0.746   0.4916   0.4916
  11500   0.380   0.823   0.775   0.5491   0.5491
  11750   0.333   0.849   0.798   0.5953   0.5953
  12000   0.309   0.849   0.826   0.6511   0.6511
  12250   0.487   0.896   0.821   0.6418   0.6418
  12500   0.377   0.859   0.825   0.6504   0.6504
  12750   0.193   0.875   0.861   0.7211   0.7211
  13000   0.299   0.839   0.861   0.7216   0.7216
  13250   0.237   0.906   0.881   0.7619   0.7619
  13500   0.055   0.839   0.888   0.7766   0.7766
  13750   0.144   0.885   0.888   0.7751   0.7751
  14000   0.076   0.917   0.913   0.8251   0.8251
  14250   0.154   0.927   0.903   0.8063   0.8063
  14500   0.146   0.938   0.900   0.8003   0.8003
  14750   0.112   0.932   0.918   0.8368   0.8368
  15000   0.204   0.896   0.908   0.8160   0.8160
  15250   0.198   0.958   0.919   0.8377   0.8377
  15500   0.065   0.943   0.922   0.8443   0.8443
  15750   0.157   0.938   0.928   0.8564   0.8564
  16000   0.113   0.969   0.936   0.8719   0.8719
  16250   0.389   0.938   0.929   0.8589   0.8589
  16500   0.272   0.948   0.939   0.8774   0.8774
  16750   0.038   0.969   0.926   0.8518   0.8518
  17000   0.060   0.964   0.944   0.8874   0.8874
  17250   0.049   0.943   0.925   0.8491   0.8491
  17500   0.118   0.953   0.949   0.8978   0.8978
  17750   0.077   0.948   0.934   0.8689   0.8689
  18000   0.121   0.964   0.934   0.8671   0.8671
  18250   0.055   0.932   0.945   0.8902   0.8902
  18500   0.268   0.974   0.950   0.9003   0.9003
  18750   0.266   0.958   0.949   0.8988   0.8988
  19000   0.316   0.974   0.962   0.9234   0.9234
  19250   0.238   0.969   0.964   0.9282   0.9282
  19500   0.039   0.974   0.952   0.9033   0.9033
  19750   0.004   0.979   0.951   0.9022   0.9022
  20000   0.058   0.990   0.965   0.9307   0.9307

1813s
READ: sigma_1 flat at ~0 then jumping = the escape is a RANK INCREASE (saddle-to-saddle).
      sigma_i switching on in sequence = one saddle per rank, which is why more pairs
      cost far more than proportionally.
