RANK DYNAMICS  4 pairs, gap 4, 30000 steps, adamw, lr 0.001, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 3).

   step      ce     acc    diag     sig1     sig2     sig3      |R|
-------------------------------------------------------------------
      1   4.506   0.021   0.250   0.0172   0.0124   0.0063   0.0221
    500   4.043   0.042   0.251   0.0036   0.0011   0.0003   0.0038
   1000   3.362   0.125   0.251   0.0045   0.0034   0.0004   0.0057
   1500   2.824   0.188   0.250   0.0040   0.0008   0.0005   0.0041
   2000   2.704   0.208   0.251   0.0050   0.0028   0.0001   0.0057
   2500   2.457   0.240   0.251   0.0033   0.0026   0.0006   0.0042
   3000   2.025   0.260   0.250   0.0050   0.0029   0.0007   0.0058
   3500   2.072   0.203   0.250   0.0037   0.0017   0.0003   0.0041
   4000   2.154   0.193   0.249   0.0029   0.0020   0.0001   0.0035
   4500   1.949   0.234   0.251   0.0025   0.0015   0.0005   0.0029
   5000   2.008   0.219   0.250   0.0030   0.0008   0.0003   0.0031
   5500   1.847   0.266   0.250   0.0026   0.0022   0.0010   0.0035
   6000   1.834   0.240   0.250   0.0017   0.0009   0.0002   0.0020
   6500   1.842   0.250   0.250   0.0020   0.0013   0.0002   0.0024
   7000   1.972   0.281   0.251   0.0016   0.0006   0.0003   0.0018
   7500   1.803   0.214   0.250   0.0018   0.0013   0.0001   0.0022
   8000   1.769   0.245   0.250   0.0015   0.0009   0.0001   0.0017
   8500   1.813   0.260   0.250   0.0019   0.0013   0.0006   0.0024
   9000   1.619   0.286   0.250   0.0020   0.0013   0.0003   0.0025
   9500   1.488   0.302   0.250   0.0019   0.0004   0.0002   0.0019
  10000   1.629   0.245   0.250   0.0017   0.0011   0.0002   0.0020
  10500   1.750   0.240   0.250   0.0012   0.0008   0.0005   0.0015
  11000   1.593   0.292   0.250   0.0018   0.0006   0.0003   0.0019
  11500   1.518   0.214   0.250   0.0017   0.0009   0.0004   0.0020
  12000   1.683   0.240   0.250   0.0010   0.0005   0.0001   0.0011
  12500   1.829   0.219   0.250   0.0014   0.0007   0.0002   0.0016
  13000   1.449   0.271   0.250   0.0011   0.0008   0.0003   0.0014
  13500   1.497   0.229   0.250   0.0015   0.0005   0.0000   0.0016
  14000   1.565   0.266   0.250   0.0008   0.0002   0.0001   0.0009
  14500   1.672   0.271   0.250   0.0015   0.0003   0.0000   0.0015
  15000   1.563   0.219   0.250   0.0014   0.0012   0.0006   0.0019
  15500   1.674   0.234   0.250   0.0015   0.0008   0.0004   0.0017
  16000   1.622   0.286   0.250   0.0010   0.0007   0.0003   0.0012
  16500   1.545   0.240   0.250   0.0010   0.0006   0.0000   0.0011
  17000   1.777   0.219   0.250   0.0014   0.0008   0.0002   0.0016
  17500   1.556   0.266   0.250   0.0015   0.0005   0.0002   0.0016
  18000   1.641   0.250   0.250   0.0013   0.0006   0.0003   0.0015
  18500   1.605   0.224   0.250   0.0014   0.0009   0.0004   0.0017
  19000   1.685   0.234   0.250   0.0012   0.0005   0.0001   0.0013
  19500   1.400   0.234   0.250   0.0008   0.0006   0.0001   0.0010
  20000   1.575   0.271   0.250   0.0014   0.0007   0.0001   0.0016
  20500   1.537   0.260   0.250   0.0011   0.0008   0.0001   0.0014
  21000   1.576   0.260   0.250   0.0009   0.0003   0.0000   0.0009
  21500   1.604   0.208   0.250   0.0008   0.0003   0.0001   0.0009
  22000   1.659   0.266   0.250   0.0006   0.0004   0.0003   0.0008
  22500   1.610   0.188   0.250   0.0008   0.0003   0.0001   0.0009
  23000   1.763   0.271   0.250   0.0011   0.0006   0.0002   0.0013
  23500   1.688   0.260   0.250   0.0008   0.0005   0.0001   0.0010
  24000   1.661   0.224   0.250   0.0009   0.0006   0.0000   0.0011
  24500   1.636   0.224   0.250   0.0018   0.0011   0.0002   0.0021
  25000   1.538   0.187   0.250   0.0013   0.0010   0.0002   0.0016
  25500   1.431   0.276   0.250   0.0017   0.0011   0.0001   0.0020
  26000   1.443   0.224   0.250   0.0014   0.0010   0.0000   0.0017
  26500   1.476   0.214   0.250   0.0012   0.0006   0.0002   0.0014
  27000   1.508   0.255   0.250   0.0011   0.0005   0.0002   0.0012
  27500   1.580   0.234   0.250   0.0014   0.0007   0.0001   0.0016
  28000   1.459   0.266   0.250   0.0014   0.0010   0.0005   0.0018
  28500   1.435   0.307   0.250   0.0012   0.0010   0.0003   0.0016
  29000   1.622   0.229   0.250   0.0007   0.0006   0.0000   0.0009
  29500   1.420   0.234   0.250   0.0010   0.0008   0.0002   0.0013
  30000   1.541   0.214   0.250   0.0011   0.0006   0.0002   0.0013

2337s
READ: sigma_1 flat at ~0 then jumping = the escape is a RANK INCREASE (saddle-to-saddle).
      sigma_i switching on in sequence = one saddle per rank, which is why more pairs
      cost far more than proportionally.
